population,genotype,individual,uniq_gen,ldmc_av,sla_av,rdmc,root_diam,srl,C_N_ratio
DRUMLIN,23,7,DRUMLIN-23,586.0681296,23.70396605,148.2479784,0.226685,153.65893,15.893
ALBANY,2,1,ALBANY-2,353.5500423,23.13619151,156.6970715,0.249486,125.6828879,20.3726
ALBANY,2,2,ALBANY-2,455.872521,25.14179327,152.7511016,0.249298,135.5426862,17.08
ALBANY,2,3,ALBANY-2,473.3513688,25.48734705,189.3869586,0.230162,115.1558929,18.1512
ALBANY,2,4,ALBANY-2,455.872521,25.14179327,141.9843387,0.249298,111.0628556,16.3657
ALBANY,2,5,ALBANY-2,464.1302178,22.03166935,158.5747847,0.239907,133.6029949,16.4182
ALBANY,5,1,ALBANY-5,678.1832973,36.23862597,142.7056406,0.222222,160.2188297,14.8642
ALBANY,5,2,ALBANY-5,396.883464,26.88806539,147.6153245,0.221875,155.0454992,15.2224
ALBANY,5,3,ALBANY-5,421.8067879,28.32655931,132.5316783,0.216905,181.6676016,15.4386
ALBANY,5,4,ALBANY-5,310.1403355,35.56830331,135.1795715,0.254092,145.7064802,14.8953
ALBANY,5,5,ALBANY-5,375.7441443,30.38610186,141.3820078,0.20377,211.5309795,15.3337
ALBANY,6,1,ALBANY-6,349.7242717,29.42866564,131.1124967,0.220472,175.332971,14.4603
ALBANY,6,2,ALBANY-6,404.0437892,24.04012262,159.0427785,0.23704,138.5214331,15.3367
ALBANY,6,3,ALBANY-6,404.625939,22.08013689,123.9115086,0.216138,185.7568848,18.6154
ALBANY,6,4,ALBANY-6,253.0122482,41.10672194,193.8202247,0.189059,210.362836,NA
ALBANY,6,5,ALBANY-6,437.3350098,22.63533138,143.8286297,0.272824,139.0730234,14.5913
ALBANY,6,6,ALBANY-6,222.3287671,29.90848461,125.1872399,0.203486,217.7667811,13.9132
ALBANY,6,7,ALBANY-6,336.2926849,28.62255388,123.8127413,0.207353,206.0623655,13.0708
ALBANY,6,8,ALBANY-6,385.1320099,24.07309047,146.9941601,0.219638,176.2626142,18.184
ALBANY,7,1,ALBANY-7,381.7002225,25.05143038,180.1182327,0.218329,133.5595701,18.6325
ALBANY,7,2,ALBANY-7,342.5932248,28.88295392,151.6883117,0.236567,140.9267514,15.4224
ALBANY,7,3,ALBANY-7,382.6235961,27.87215933,165.6038419,0.241167,120.650441,17.3
ALBANY,7,4,ALBANY-7,373.9986026,29.13075519,225.8679599,0.252657,96.35486161,21.0373
ALBANY,7,5,ALBANY-7,316.2414248,29.91537669,173.4576364,0.218505,143.8941578,19.3556
ALBANY,7,6,ALBANY-7,396.2152733,28.24401692,150.1134767,0.262501,113.4201969,19.4411
ALBANY,7,7,ALBANY-7,427.1405484,28.06791197,162.5844119,0.221732,136.6102446,16.8219
ALBANY,7,8,ALBANY-7,337.7667026,30.80798236,147.5068207,0.260532,93.03476847,16.0978
ALBANY,7,9,ALBANY-7,319.1562077,29.75800361,174.090663,0.244816,113.858521,15.4196
ALBANY,8,1,ALBANY-8,389.2637522,27.1239863,119.2829457,0.206398,195.5581706,15.4158
ALBANY,8,2,ALBANY-8,366.2110198,31.04605799,125.5167554,0.214725,175.3407454,18.4578
ALBANY,8,3,ALBANY-8,467.5039415,27.20296969,134.3475717,0.23502,171.6794224,15.2573
ALBANY,8,4,ALBANY-8,478.979886,23.91731979,165.961285,0.230543,137.1616418,20.825
ALBANY,8,5,ALBANY-8,389.7121543,28.59882431,147.3684211,0.216659,177.2146447,15.2025
ALBANY,8,6,ALBANY-8,383.4237785,27.3130861,145.9301191,0.228695,170.2410883,15.323
ALBANY,8,7,ALBANY-8,355.2959885,31.18079711,151.0124421,0.218276,216.1348153,15.9612
ALBANY,8,8,ALBANY-8,374.0108017,26.20997014,161.5483287,0.222972,176.4442057,14.0836
ALBANY,9,1,ALBANY-9,347.3858754,26.13851804,220.503012,0.25699,78.45218885,13.8841
ALBANY,9,2,ALBANY-9,305.9857904,27.34353296,167.2171369,0.229583,117.2554521,14.2499
ALBANY,9,3,ALBANY-9,397.8860759,28.56120228,187.6675603,0.257046,94.41269759,16.706
ALBANY,9,4,ALBANY-9,387.1288111,27.7216388,168.986409,0.266891,88.33348883,15.2346
ALBANY,9,5,ALBANY-9,394.5799351,30.77768569,147.061144,0.249787,96.7961374,12.7173
ALBANY,9,6,ALBANY-9,426.8689948,27.40383679,179.0564689,0.227915,123.8956701,12.6928
ALBANY,9,7,ALBANY-9,332.155237,28.41645559,163.2696617,0.243355,122.4764785,11.8961
ALBANY,10,1,ALBANY-10,369.9973067,28.78964877,149.8534472,0.225123,140.7892129,17.6739
ALBANY,10,2,ALBANY-10,418.1743873,29.47763136,174.1524997,0.218985,124.7836191,16.3187
ALBANY,10,3,ALBANY-10,375.6641363,33.08086263,105.1883879,0.274137,135.1773229,15.1553
ALBANY,10,4,ALBANY-10,391.624728,31.54220854,126.0373746,0.253367,142.3979783,15.7157
ALBANY,10,5,ALBANY-10,348.6241532,27.99848858,170.8461394,0.240817,106.2339992,18.9264
HOSAH,1,1,HOSAH-1,515.1240187,23.94082516,235.1538278,0.217569,111.7984644,19.5251
HOSAH,1,2,HOSAH-1,541.4434235,26.88546652,168.4006348,0.25051,114.0015658,16.5151
HOSAH,1,3,HOSAH-1,403.6428313,27.62183288,193.9348745,0.269322,95.58210811,20.9116
HOSAH,1,4,HOSAH-1,408.7094133,30.05137904,169.6805631,0.235109,137.6579984,16.469
HOSAH,1,5,HOSAH-1,404.0603207,27.55899527,196.8441815,0.244834,100.9513121,22.4015
HOSAH,1,6,HOSAH-1,422.3351303,25.2411519,232.0942883,0.213223,115.9543049,21.2618
HOSAH,1,7,HOSAH-1,421.0042344,25.51688319,208.409611,0.250345,91.02506242,19.5451
HOSAH,1,8,HOSAH-1,423.4439587,24.77841946,172.904469,0.262576,96.3112587,18.7828
HOSAH,1,9,HOSAH-1,411.0389778,26.71896871,191.0199557,0.224794,138.2251598,19.0496
HOSAH,3,1,HOSAH-3,420.8359961,27.29846726,192.8099033,0.298547,75.55173692,19.4957
HOSAH,3,2,HOSAH-3,388.2040609,29.66085737,179.2952653,0.283434,79.79283419,18.5935
HOSAH,3,3,HOSAH-3,427.3592247,23.47736606,165.7081921,0.256474,99.25220723,19.7576
HOSAH,3,4,HOSAH-3,368.1322481,26.54847362,187.1878705,0.292419,67.24781352,17.1673
HOSAH,3,5,HOSAH-3,384.5115663,26.34355299,134.6975172,0.271209,114.7724896,14.0004
HOSAH,3,6,HOSAH-3,345.7508028,29.42398138,153.3644791,0.274681,115.7392322,19.6249
HOSAH,3,7,HOSAH-3,348.238335,28.89596934,154.1524231,0.28378,105.8627596,22.4082
HOSAH,3,8,HOSAH-3,369.8475245,29.81225299,134.5002766,0.261719,136.2100669,12.9548
HOSAH,3,9,HOSAH-3,302.9216827,33.3453315,155.2757185,0.250364,123.803178,13.3596
HOSAH,10,1,HOSAH-10,465.0882696,24.26989821,174.1639009,0.243262,108.5799978,23.5803
HOSAH,10,2,HOSAH-10,475.6211932,24.98149982,172.4413758,0.243375,114.3927759,22.5436
HOSAH,10,3,HOSAH-10,508.5466171,25.80486975,171.6372948,0.229888,119.2825978,15.3312
HOSAH,10,4,HOSAH-10,511.6987465,23.04873093,192.4059013,0.272758,83.01350238,24.9178
HOSAH,10,5,HOSAH-10,445.1200155,24.74536827,177.5590922,0.241312,120.8522509,20.5903
HOSAH,11,1,HOSAH-11,357.3928117,25.58093608,163.8111252,0.301729,83.79821672,15.8544
HOSAH,11,2,HOSAH-11,430.3046392,23.41845296,188.0625646,0.281386,78.20241136,17.0824
HOSAH,11,3,HOSAH-11,352.7641293,25.08001616,157.2867394,0.258382,101.4545038,22.4595
HOSAH,11,4,HOSAH-11,330.9817587,27.0395143,151.8485915,0.27893,94.53052638,17.5052
HOSAH,11,5,HOSAH-11,409.8806758,23.50840158,175.7675665,0.269665,80.06625453,18.7795
HOSAH,11,6,HOSAH-11,428.8632202,21.54326467,160.5507074,0.309183,71.87972375,15.4048
HOSAH,13,1,HOSAH-13,425.5052228,20.88366576,189.1258152,0.27173,91.62170247,18.964
HOSAH,13,2,HOSAH-13,378.1113648,23.7058826,174.2661727,0.274064,85.31990406,18.6511
HOSAH,13,3,HOSAH-13,357.1643559,27.014624,142.9882045,0.25213,126.9214225,16.9365
HOSAH,13,4,HOSAH-13,320.7337364,27.37228844,172.8553137,0.290804,83.84973431,18.2197
HOSAH,13,5,HOSAH-13,358.4854645,23.19686011,174.8928353,0.24233,123.8287306,18.2908
